,city,proj_number,country,location_info,country1,latitude,longitude
148,Växjö,2,Sweden,"Växjö, Växjö kommun, Kronoberg County, 351 04, Sweden",Sweden,56.8787183,14.8094385
149,Versailles,1,France,"Versailles, Yvelines, Ile-de-France, Metropolitan France, 78000, France",France,48.8035403,2.1266886
150,Vienna,2,Austria,"Vienna, Austria",Austria,48.2083537,16.3725042
151,Viladecans,1,Spain,"Viladecans, Baix Llobregat, Barcelona, Catalonia, 08840, Spain",Spain,41.3163083,2.0156034
152,Vitoria-Gasteiz,2,Spain,"Vitoria-Gasteiz, Gasteizko kuadrilla/Cuadrilla de Vitoria, Álava, Autonomous Community of the Basque Country, Spain",Spain,42.8465088,-2.6724025
153,Voiron,1,France,"Voiron, Grenoble, Isère, Auvergne-Rhône-Alpes, Metropolitan France, 38500, France",France,45.3631386,5.5910751
154,Warsaw,1,Poland,"Warsaw, Masovian Voivodeship, Poland",Poland,52.2319581,21.0067249
155,Weilerbach,1,Germany,"Weilerbach, Landkreis Kaiserslautern, Rhineland-Palatinate, 67685, Germany",Germany,49.482492,7.6323501
156,Weiz / Gleisdorf,1,Austria,"Gleisdorf, Bezirk Weiz, Styria, 8200, Austria",Austria,47.106751,15.710006557612969
157,Zagorje,1,Croatia,"Zagorje, Općina Kršan, Istria County, 52234, Croatia",Croatia,45.1280743,14.2050615
158,Zaragoza,2,Spain,"Zaragoza, Aragon, Spain",Spain,41.6521342,-0.8809428
159,Zlín,1,Czechia,"Zlín, okres Zlín, Zlínský kraj, Central Moravia, Czechia",Czechia,49.226766,17.6667415
