,index,city,proj_number,country,location_info,country1
116,116,San Sebastian,3,Spain,"San Sebastián, Donostialdea, Gipuzkoa, Autonomous Community of the Basque Country, Spain",Spain
117,117,Santiago de Compostela,1,Spain,"Santiago de Compostela, Santiago, A Coruña, Galicia, 15705, Spain",Spain
118,118,Sestao,1,Spain,"Sestao, Biscay, Autonomous Community of the Basque Country, 48910, Spain",Spain
119,119,Sierre,1,Switzerland,"Sierre, Wallis, 3960, Switzerland",Switzerland
120,120,Słubice,1,Germany,"Frankfurt (Oder), Brandenburg, Germany",Germany
121,121,Sofia,2,Bulgaria,"Sofia, Sofia City, Sofia-City, Bulgaria",Bulgaria
122,122,Soma,1,Turkey,"Soma, Manisa, Aegean Region, Turkey",Turkey
123,123,Sonderborg,1,Denmark,"Sønderborg, Sønderborg Municipality, Region of Southern Denmark, 6400, Denmark",Denmark
124,124,Stambruges,1,Belgium,"Stambruges, Belœil, Ath, Hainaut, Wallonia, 7973, Belgium",Belgium
125,125,Stavanger,1,Norway,"Stavanger, Rogaland, 4006, Norway",Norway
126,126,Stenløse,1,Denmark,"Stenløse, Egedal Municipality, Capital Region of Denmark, 3660, Denmark",Denmark
127,127,Stockholm,1,Sweden,"Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden",Sweden
128,128,Stoke-on-Trent,1,United Kingdom,"Stoke-on-Trent, England, United Kingdom",United Kingdom
129,129,Stuttgart,1,Germany,"Stuttgart, Baden-Württemberg, Germany",Germany
130,130,Suonenjoki,1,Finland,"Suonenjoki, Inner Savonia, North Savo, Regional State Administrative Agency for Eastern Finland, Mainland Finland, Finland",Finland
131,131,Szentendre,2,Hungary,"Szentendre, Szentendrei járás, Pest, Central Hungary, Hungary",Hungary
132,132,Talinn,1,Estonia,"Talinn, Tipaza, Tipaza District, Tipaza, Algeria",Algeria
133,133,Tampere,2,Finland,"Tampere, Tampere sub-region, Pirkanmaa, Western and Central Finland, Mainland Finland, Finland",Finland
134,134,Tartu,2,Estonia,"Tartu, Tartu linn, Tartu maakond, Estonia",Estonia
135,135,Tepebasi,1,Turkey,"Tepebaşı Mahallesi, Kırıkkale, Central Anatolia Region, Turkey",Turkey
136,136,Torino,1,Italy,"Turin, Torino, Piedmont, Italy",Italy
137,137,Trento,1,Italy,"Provincia di Trento, Trentino-Alto Adige/Südtirol, Italy",Italy
138,138,Trondheim,2,Norway,"Trondheim, Trøndelag, Norway",Norway
139,139,Tudela,1,Spain,"Tudela, Erribera / Ribera, Navarre, 31500, Spain",Spain
140,140,Tulln,1,Austria,"Gemeinde Tulln an der Donau, Bezirk Tulln, Lower Austria, 3430, Austria",Austria
141,141,Turku,2,Finland,"Turku, Turku sub-region, Southwest Finland, South-Western Finland, Mainland Finland, Finland",Finland
142,142,Umeå,1,Sweden,"Umeå, Umeå kommun, Västerbotten County, Sweden",Sweden
143,143,Utrecht,1,Netherlands,"Utrecht, Netherlands",Netherlands
144,144,Valby,1,Denmark,"Valby, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1805, Denmark",Denmark
145,145,Valencia,2,Spain,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",Spain
146,146,Valladolid,3,Spain,"Valladolid, Castile and León, Spain",Spain
147,147,Varberg,1,Sweden,"Varberg, Varbergs kommun, Halland County, 432 41, Sweden",Sweden
148,148,Växjö,2,Sweden,"Växjö, Växjö kommun, Kronoberg County, 351 04, Sweden",Sweden
149,149,Versailles,1,France,"Versailles, Yvelines, Ile-de-France, Metropolitan France, 78000, France",France
150,150,Vienna,2,Austria,"Vienna, Austria",Austria
151,151,Viladecans,1,Spain,"Viladecans, Baix Llobregat, Barcelona, Catalonia, 08840, Spain",Spain
152,152,Vitoria-Gasteiz,2,Spain,"Vitoria-Gasteiz, Gasteizko kuadrilla/Cuadrilla de Vitoria, Álava, Autonomous Community of the Basque Country, Spain",Spain
153,153,Voiron,1,France,"Voiron, Grenoble, Isère, Auvergne-Rhône-Alpes, Metropolitan France, 38500, France",France
154,154,Warsaw,1,Poland,"Warsaw, Masovian Voivodeship, Poland",Poland
155,155,Weilerbach,1,Germany,"Weilerbach, Landkreis Kaiserslautern, Rhineland-Palatinate, 67685, Germany",Germany
156,156,Weiz / Gleisdorf,1,Austria,"Gleisdorf, Bezirk Weiz, Styria, 8200, Austria",Austria
157,157,Zagorje,1,Croatia,"Zagorje, Općina Kršan, Istria County, 52234, Croatia",Croatia
158,158,Zaragoza,2,Spain,"Zaragoza, Aragon, Spain",Spain
159,159,Zlín,1,Czechia,"Zlín, okres Zlín, Zlínský kraj, Central Moravia, Czechia",Czechia
